season,match_id,game_number,date,team_a,team_b,winner,duration_minutes,source
2,S2-RS-029,2,2018-10-07,Saints Indo,EVOS Esports,EVOS Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-030,1,2018-10-07,Louvre Esports,Team Capcorn,Louvre Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-030,2,2018-10-07,Louvre Esports,Team Capcorn,Louvre Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-031,1,2018-10-12,Saints Indo,Bigetron Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-031,2,2018-10-12,Saints Indo,Bigetron Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-031,3,2018-10-12,Saints Indo,Bigetron Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-032,1,2018-10-12,Louvre Esports,RRQ.O2,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-032,2,2018-10-12,Louvre Esports,RRQ.O2,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-032,3,2018-10-12,Louvre Esports,RRQ.O2,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-033,1,2018-10-13,EVOS Esports,Aerowolf Roxy,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-033,2,2018-10-13,EVOS Esports,Aerowolf Roxy,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-033,3,2018-10-13,EVOS Esports,Aerowolf Roxy,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-034,1,2018-10-13,SFI Esports,Bigetron Esports,Bigetron Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-034,2,2018-10-13,SFI Esports,Bigetron Esports,Bigetron Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-035,1,2018-10-14,Saints Indo,Aerowolf Roxy,Aerowolf Roxy,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-035,2,2018-10-14,Saints Indo,Aerowolf Roxy,Aerowolf Roxy,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-036,1,2018-10-14,Boom JR,ONIC Esports,ONIC Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-036,2,2018-10-14,Boom JR,ONIC Esports,ONIC Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-037,1,2018-10-14,Team Capcorn,SFI Esports,SFI Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-037,2,2018-10-14,Team Capcorn,SFI Esports,SFI Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-038,1,2018-10-19,EVOS Esports,Team Capcorn,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
